213|Half 2nd cousins & 4th cousins|213|-1|9/512|0|0|0|0|0|0|0|0|0|0|0|0|0|0
214|Half 2nd cousins, 1 rem & half 2nd cousins, 2 rem|214|-1|3/256|0|0|0|0|0|0|0|0|0|0|0|0|0|0
215|Half 2nd cousins, 1 rem & half 3rd cousins, 1 rem|215|-1|5/512|0|0|0|0|0|0|0|0|0|0|0|0|0|0
216|Half 2nd cousins, 1 rem & 3rd cousins, 1 rem|216|-1|3/256|0|0|0|0|0|0|0|0|0|0|0|0|0|0
217|Half 2nd cousins, 1 rem & 4th cousins|217|-1|5/512|0|0|0|0|0|0|0|0|0|0|0|0|0|0
218|Double half 2nd cousins, 2 rem|218|-1|1/128|0|0|0|0|0|0|0|0|0|0|0|0|0|0
219|Half 3rd cousins & half 3rd cousins, 1 rem|219|-1|3/512|0|0|0|0|0|0|0|0|0|0|0|0|0|0
220|Half 3rd cousins & 3rd cousins, 1 rem|220|-1|1/128|0|0|0|0|0|0|0|0|0|0|0|0|0|0
221|Half 3rd cousins & 4th cousins|221|-1|3/512|0|0|0|0|0|0|0|0|0|0|0|0|0|0
222|Double half 3rd cousins, 1 rem|222|-1|1/256|0|0|0|0|0|0|0|0|0|0|0|0|0|0
223|Parent-offspring & half 1st cousins, 1 rem|223|-1|17/32|0|0|0|0|0|0|0|0|0|0|0|0|0|0
224|Parent-offspring & half 1st cousins, 2 rem|224|-1|33/64|0|0|0|0|0|0|0|0|0|0|0|0|0|0
225|Parent-offspring & half 2nd cousins|225|-1|33/64|0|0|0|0|0|0|0|0|0|0|0|0|0|0
226|Parent-offspring & 2nd cousins|226|-1|17/32|0|0|0|0|0|0|0|0|0|0|0|0|0|0
227|Grandparent-grandchild & half gr grand avuncular|227|-1|9/32|0|0|0|0|0|0|0|0|0|0|0|0|0|0
228|Grandparent-grandchild & half 1st cousins, 1 rem|228|-1|9/32|0|0|0|0|0|0|0|0|0|0|0|0|0|0
229|Gr grandparent-grandchild & half grand avuncular|229|-1|3/16|0|0|0|0|0|0|0|0|0|0|0|0|0|0
230|Avuncular & half 1st cousins, 1 rem|230|-1|9/32|0|0|0|0|0|0|0|0|0|0|0|0|0|0
